entry_time,side,entry,exit,raw_return,net_return,win
2025-01-22 09:00:00,SELL,1.0449320077896118,1.0437324047088623,0.0011480202269686934,0.0010523202204089038,1
2025-01-22 10:00:00,SELL,1.0451505184173584,1.0428615808486938,0.002190055430609794,0.002094375432142753,1
2025-01-22 11:00:00,SELL,1.0446046590805054,1.0423181056976318,0.0021889174655665977,0.002093187469408986,1
2025-01-22 12:00:00,SELL,1.0441683530807495,1.0423181056976318,0.0017719818625594463,0.0016762118655997064,1
2025-01-22 13:00:00,SELL,1.0437324047088623,1.0419923067092896,0.001667187865129205,0.001571377866753334,1
2025-01-22 14:00:00,BUY,1.0428615808486938,1.0418837070465088,-0.0009376832171621441,-0.0010335732200507524,0
2025-01-22 15:00:00,SELL,1.0423181056976318,1.0423181056976318,-0.0,-9.594000090123082e-05,0
2025-01-22 16:00:00,SELL,1.0423181056976318,1.0415581464767456,0.0007291048833671931,0.0006331648824659624,1
2025-01-23 03:00:00,BUY,1.04112446308136,1.0403661727905271,-0.0007283377902663757,-0.0008243877857722304,0
2025-01-23 05:00:00,SELL,1.0407993793487549,1.0414496660232544,-0.0006247954095690567,-0.0007208754053724474,0
2025-01-23 07:00:00,BUY,1.0403661727905271,1.040474534034729,0.00010415683154252342,8.0368282058381e-06,1
2025-01-23 08:00:00,BUY,1.039717197418213,1.0407993793487549,0.0010408425802990173,0.0009446625803448796,1
2025-01-23 09:00:00,SELL,1.0414496660232544,1.0413411855697632,0.00010416293463844095,8.142931692117937e-06,1
2025-01-23 10:00:00,SELL,1.0414496660232544,1.04112446308136,0.00031225987438843195,0.00021623987144210892,1
2025-01-23 11:00:00,SELL,1.040474534034729,1.039933443069458,0.000520042487895167,0.0004239324950708139,1
2025-01-23 12:00:00,SELL,1.0407993793487549,1.042209506034851,-0.001354849660823776,-0.0014509296566271666,0
2025-01-23 13:00:00,BUY,1.0413411855697632,1.0438413619995115,0.0024009195683356577,0.002304889562622126,1
2025-01-23 14:00:00,SELL,1.04112446308136,1.0426441431045532,-0.0014596525939802873,-0.0015557025894861421,0
2025-01-23 15:00:00,BUY,1.039933443069458,1.042535424232483,0.0025020650892282337,0.0024059050891181875,1
2025-01-23 17:00:00,BUY,1.0438413619995115,1.041775107383728,-0.001979471872838534,-0.002075271870463122,0
2025-01-23 18:00:00,BUY,1.0426441431045532,1.0416667461395264,-0.0009374214313586648,-0.001033331431583902,0
2025-01-23 19:00:00,BUY,1.042535424232483,1.041775107383728,-0.0007292959366964613,-0.0008252159387180907,0
2025-01-23 20:00:00,BUY,1.0419923067092896,1.0421009063720703,0.00010422309462509993,8.253096232492329e-06,1
2025-01-24 00:00:00,SELL,1.0421009063720703,1.04504132270813,-0.002821623432126552,-0.002917583429271297,0
2025-01-24 02:00:00,SELL,1.0451505184173584,1.0461344718933103,-0.0009414466707071689,-0.00103712666917421,0
2025-01-24 03:00:00,SELL,1.04504132270813,1.046353459358215,-0.0012555835081091704,-0.001351273504118954,0
2025-01-24 04:00:00,SELL,1.04504132270813,1.049538254737854,-0.004303114079805548,-0.0043988040758153315,0
2025-01-24 06:00:00,SELL,1.0461344718933103,1.0492078065872192,-0.0029378008052318716,-0.0030333908108064116,0
2025-01-24 07:00:00,SELL,1.046353459358215,1.0487676858901978,-0.002307276294057914,-0.0024028462939519606,0
2025-01-24 08:00:00,SELL,1.049538254737854,1.0477787256240845,0.0016764792572606657,0.001581199261940269,1
2025-01-24 09:00:00,SELL,1.049648404121399,1.047120451927185,0.0024083799720820975,0.0023131099753790547,1
2025-01-24 10:00:00,SELL,1.0492078065872192,1.0492078065872192,-0.0,-9.531000376872162e-05,0
2025-01-24 11:00:00,SELL,1.0487676858901978,1.052188515663147,-0.0032617612260292805,-0.003357111227126158,0
